author,content
连涨山人-风水操盘, 对于目前的市场，一方面，节前做空情绪充分释放，节后又有“稳增长”的政策加持，某种程度上讲，空头已成强弩之末，出现连续性、系统性杀跌的概率很小；另一方面，俄乌局势反反复复，目前似乎在向不好的方向发展，加上老美加息的时间点也越来越近，导致多头攻击也有很大的顾虑。消息面多空交织，资金面存量博弈，技术面上有压力、下有支撑，市场分歧很严重，指数震荡，成为了时下最优的选择。应对策略上，一句话概括“短线不追高，回落敢低吸”。
深圳卫视正午30分,【台媒：俄乌局势西方各国磕瓜看戏做路人甲】#台湾#L深圳卫视正午30分的微博视频
直新闻,#俄乌边境危机#【俄罗斯拒绝演美国剧本，乌克兰哑巴吃黄连】美国总统拜登再就俄乌局势发表讲话时声称，他相信普京已下定决心推进“全面入侵乌克兰”计划。对此，直新闻特约评论员刘和平认为，其实，对于俄罗斯是否会入侵乌克兰这一问题，拜登的预言已经是好几次被现实打脸了。然而，在这种情况下，拜登仍然继续信誓旦旦地对外发布着自己的预言。很显然，拜登仍然想要以这样一种方式，揭穿俄罗斯的所谓“侵略”阴谋，以阻止俄罗斯的所谓“全面入侵计划”。而在我看来，越是在这种情况下，喜欢特立独行出其不意的普京，越不会让接下来的俄乌局势剧情，沿着拜登“提前透露”的剧本在走。详细内容请扫描下图二维码或点击链接阅读：O俄罗斯拒绝演美国剧本，乌克兰哑巴吃黄连
看看新闻全球眼,【俄乌局势紧张导致？#欧洲多家航空公司暂停飞往乌克兰的航班#】据乌克兰独立通讯社2月19日报道，德国汉莎航空公司将于2月21日至2月28日暂停所有往返基辅的航班。此外，瑞士航空公司和奥地利航空公司也停止飞往基辅的航班。汉莎航空在一份声明中说，“汉莎航空一直在监控情况，并将在以后决定是否会恢复航班。”L看看新闻KNEWS的秒拍视频
张晨雷V,黄金本周在俄乌局势风险事件刺激下从1844涨到1902。开启一波小单边行情。典型的地缘政治带动黄金避险上涨。据周六消息，局势没有得到任何好转，冲突不断升级，局面不会短期内得到缓解。下周黄金思路很简单，回踩做多看破新高。黄金上方压力1910-15，下方支撑1886-81。黄金建议回踩1888-85多止损1882止盈1895-1900#黄金##现货黄金##原油#
无锡交通广播,【乌克兰媒体：#乌克兰前100名富豪逃了96位#？】#乌克兰总统喊富豪回国#本周，俄乌局势持续成为金融市场上的关注焦点，而面临可能开战的风险，不少富豪纷纷逃离乌克兰，乌克兰媒体报道称，截至13日晚航班停运时，包括乌克兰首富——里纳特·阿克梅托夫在内的福布斯乌克兰富豪榜上排名前100位的富豪已经离开了绝大部分，只剩下4位留在了乌克兰。14日，乌克兰总统泽连斯基在一场发布会上公开喊话，要求离境的富豪们于24小时内回国，因为“现在是展示国家团结的重要时刻。”面对质疑，里纳特·阿克梅托夫的秘书16日在社交媒体的发帖展示阿克梅托夫在乌克兰境内考察的照片，而其他一些富豪也做出回应表示目前在国外参加活动，将很快回国。（央视财经）L央视财经的微博视频
冰点查,美国天然气将提升20%产能，成为世界上最大的燃料出口国——美国真是“始皇摸电线-赢麻了”；在乌克兰危机持续紧张的情况下，欧洲各国都开始寻找除了俄罗斯之外的天然气供应来源。在这种情况下，美国打算在今年之内，将天然气的产量提升20%，成为世界上最大的燃料出口国；你看看，谁说怂恿开战只能卖军火的，能卖的东西多了去了；北约秘书长这两天还表示一战、二战的经验表明，欧洲必须依靠美国才能获胜。不知道这位北约秘书长有没有想过，一战、二战的美国，到底靠欧洲战事获得了多少好处？欧盟伸着脖子甘愿让别人放血，谁也救不了他们。一个科索沃把欧元打的晕头转向，同样的套路再来一遍还伸头。周一又会逼迫黄金原油等起飞，敬请期待#V+会员#今日看盘黄金#黄金走势##俄乌局势#
三分谷,【冬奥概念熄火、香港疫情暴发、俄乌局势紧张、印尼反骨初现，接下来的行情主赛道大概率会在国防黄金石油新冠四条赛道里产生】三分谷最新股票池：国防军工：300167迪威迅、300084海默科技、300353东土科技黄金概念：300139晓程科技、002155湖南黄金、600170上海建工石油板块：002828贝肯能源、300164能源石油、603619中曼石油新冠概念：600866星湖科技、300869康泰医学、603716塞力医疗真正的技术分析判断股票的短线涨跌不必看基本面，而是在于市场情绪和活跃资金对消息面的认可程度。市场上各种消息纷繁复杂，但是久经沙场的机构都能从中挖掘出故事和预期，调动起市场情绪，一旦情绪开始传染，资金铺天盖地席卷而来，就有了短期的确定性，迎来主升浪甚至以连板的形式打开空间高度。
新闻晨报,【乌克兰媒体：#乌克兰前100名富豪逃了96位#？】#乌克兰总统喊富豪回国#本周，俄乌局势持续成为金融市场上的关注焦点，而面临可能开战的风险，不少富豪纷纷逃离乌克兰，乌克兰媒体报道称，截至13日晚航班停运时，包括乌克兰首富——里纳特·阿克梅托夫在内的福布斯乌克兰富豪榜上排名前100位的富豪已经离开了绝大部分，只剩下4位留在了乌克兰。14日，乌克兰总统泽连斯基在一场发布会上公开喊话，要求离境的富豪们于24小时内回国，因为“现在是展示国家团结的重要时刻。”面对质疑，里纳特·阿克梅托夫的秘书16日在社交媒体的发帖展示阿克梅托夫在乌克兰境内考察的照片，而其他一些富豪也做出回应表示目前在国外参加活动，将很快回国。（央视财经）L央视财经的微博视频
财富密钥,【海通石化】地缘政治对油气价格的影响0220🔖俄乌局势。俄罗斯原油年产量5.24亿吨，占全球12.6%；天然气产量6385亿方，占全球16.6%。局势持续紧张推升了油气价格。去年下半年以来欧洲气价大幅上涨以及今年以来油价上涨，我们认为与地缘局势有较大关系。🔖伊核问题。如果伊朗原油再次出口，我们认为对油价冲击不大。借鉴2015-2018年伊朗原油获准出口的产量变化，我们认为伊朗可能需要一年左右的时间实现原油产量增加100万桶/日（约占全球产量1%），对油价影响有限。🔖地缘局势缓和将会短期冲高的油价形成一定抑制。但在供需改善的大环境下，原油均价将延续升势。我们建议关注：1）油气开采，中海油、中石油；2）油服设备，中海油服、杰瑞股份；3）成本优势，卫星石化、东华能源、宝丰能源、广汇能源等。
月球硬着陆,各方利益集团不断的激化俄乌局势，意在用外部矛盾来转移内部矛盾！美国是真想整的战场越乱越好，这样才会把准备进入欧盟国际资金吓的回流美国！美国的通胀问题犹如吃饱了撑着，不断在找“助消化药”，顶着“胃”很难受！但是欧洲呢！欧洲装腔作势，单方面台面迎合美国，应和美国就俄罗斯准备进攻的虚假言论，但是内心里欧洲并不想俄乌打起来（应该说希望尽量把时间线整体给拉长）欧盟的小算盘已经在内心里盘算了起来哈哈哈预计2022年俄乌局势会不断动荡不停歇.美国处于共生逻辑中的消费国，但是我们不断在思考未来美元贬值的趋势压力，越来越清晰.也就两个分支1.被刺破泡沫2.继续整泡沫———真的美国所面临的危机问题已经在日益增长！在这个阶段与未来投资机会眺望：关注黄金，这个黄金问题（乌克兰局势不是最关键的，美国通胀才是根本项）我从去年就开始盯着这个黄金市场，这个后续继续是重点.
衝鋒号角,俄乌大战一触即发，中国表态了！王国委就乌克兰局势表态！#俄罗斯乌克兰危机#L衝鋒号角的微博视频
环球网,#约翰逊宣称俄正策划1945年以来欧洲最大规模战争#【更起劲了！英首相宣称俄正策划“1945年以来欧洲最大规模战争”】英国首相约翰逊渲染俄乌紧张局势越来越起劲了。据英国广播公司（BBC）20日消息，约翰逊在接受该媒体采访时声称，有证据表明俄罗斯正在策划“自1945年以来欧洲最大规模的战争”。他进一步表示，“所有迹象都表明，该计划在某种意义上已经开始了。”约翰逊说，有情报显示俄罗斯打算发动“入侵”，包围乌克兰首都基辅。除了继续渲染战争威胁，约翰逊还称，英国将对俄罗斯实施比此前建议的广泛的制裁。报道称，约翰逊上述表态是在德国参加慕尼黑安全会议时说的，这一完整采访视频于当地时间20日上午播出。与美国一样，英国最近也是不遗余力，宣扬俄罗斯要“入侵”乌克兰。英国国防部17日在社交媒体上发布所谓“普京入侵”的地图，用“今日俄罗斯”电视台的话说，这是一份“不祥的示意图”，加剧了人们的恐慌情绪。美英就俄罗斯“入侵”喋喋不休之际，俄罗斯已经就撤军发表数个声明。俄国防部18日再度发布消息称，完成演习之后，一辆载有西部军区坦克部队人员和军事装备的列车已回到位于下诺夫哥罗德州的驻地。另外，有10架战机从克里米亚半岛撤走。“我确信，就连非专业的外交政策观察人士都认为，这一切是宣传活动、虚假新闻和凭空捏造。”对于西方关于俄罗斯“入侵”乌克兰的言论，俄外长拉夫罗夫18日接受“今日俄罗斯”电视台专访时这样定性，并表示：“如果他们喜欢这样，就让他们自己高兴去吧。”他在采访中点名英国外交大臣特拉斯、北约秘书长斯托尔滕贝格和布林肯等西方官员的名字，指责他们加剧公众对爆发战争的焦虑。“他们在为未来定调。”拉夫罗夫说，即便俄军事演习结束，部队回到基地，这些西方官员所谓的“威胁”仍将“永远、永远存在”。
清水涟漪K,"北方四岛估计会迎来俄罗斯导弹营。<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />"
最暖的遇见,"国家应该放在所有两个字前面吧<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
雅洁6邢,别真的掐起来吧
棒棒的奶瓶,老毛子真的流氓，不亚于霉国佬。
乐朝夕之于共,极限施压而已~
Talent8899,厉害了
英红九号596,诡异
林中漫步rr,"有没有人注意，公告的第二条和第三条内容完全一样，机翻大意“这是公务要求”。这是重要的事情说三遍吗？<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
甜甜圈6666666,做做样子罢了，他都说了不想战争
苏莱曼的国权,冬奥会结束啦
云飞扬6505845778,在美国不断炒作之下，俄乌局势的紧张程度有增无减，好在日前俄罗斯终于放出消息宣布撤军。不过就在大家松了一口气的时候，乌克兰总统突然爆料称没看到俄军撤离的实际进展。一时间全球目光再度转向普京……普京骗了全世界？全球刚刚松了一口气，乌克兰总统突然爆俄军料O网页链接
界面新闻,【#乌克兰富豪纷纷逃离#，乌克兰媒体：#乌克兰前100名富豪逃离了96位#？】本周，俄乌局势持续成为金融市场上的关注焦点，而面临可能开战的风险，不少富豪纷纷逃离乌克兰，乌克兰媒体报道称，截至13日晚航班停运时，包括乌克兰首富——里纳特·阿克梅托夫在内的福布斯乌克兰富豪榜上排名前100位的富豪已经离开了绝大部分，只剩下4位留在了乌克兰。14日，乌克兰总统泽连斯基在一场发布会上公开喊话，要求离境的富豪们于24小时内回国，因为“现在是展示国家团结的重要时刻。”面对质疑，里纳特·阿克梅托夫的秘书16日在社交媒体的发帖展示阿克梅托夫在乌克兰境内考察的照片，而其他一些富豪也做出回应表示目前在国外参加活动，将很快回国。（央视财经）L央视财经的微博视频
云财经,实时快报：【#英首相宣称俄正策划“1945年以来欧洲最大规模战争”#】云财经讯，英国首相约翰逊渲染俄乌紧张局势越来越起劲了。据英国广播公司（BBC）20日消息，约翰逊在接受该媒体采访时声称，有证据表明俄罗斯正在策划“自1945年以来欧洲最大规模的战争”。他进一步表示，“所有迹象都表明，该计划在某种意义上已经开始了。”约翰逊说，有情报显示俄罗斯打算发动“入侵”，包围乌克兰首都基辅。
股海光头520,俄乌局势：可以说仍是剑拔弩张，相互之间谁都没有示弱的意思。七国集团坐在一起商讨对策，美国继续拱火，不断预测攻击时间，进行心理战和舆论战引导，以试图通过搅乱俄乌来搅局全球地缘政治，把全球资本引导到美国市场，进而来解决美国内部的债务以及美元资产自身面临的压力。但或许会事与愿违，一方面不太可能打起来；另一方面，在外围紧张时，人民币快速走强，这波涨势略显突然，令整个外汇市场都有点措手不及。有机构认为，此乃是欧洲资管机构所为，在大举买入中国国债避险，无形间带动离岸市场人民币需求上升与汇率上涨。对A股来说，周五低开高走实际是化解了影响，尾盘更是翘尾，说明市场对中东欧的局势已经有一定的免疫，除非局势升级！#乌克兰俄罗斯#
议科技,美国副总统哈里斯：美国正在努力缓解俄乌紧张局势对美国能源成本的潜在影响。#财经##议科技#
一人一股,#乌克兰前100名富豪逃离了96位#本周，俄乌局势持续成为金融市场上的关注焦点，而面临可能开战的风险，不少富豪纷纷逃离乌克兰，乌克兰媒体报道称，截至13日晚航班停运时，福布斯乌克兰富豪榜上排名前100位的富豪已经离开了绝大部分，只剩下4位留在了乌克兰。
本溪老刘,观察者网一周军评：俄乌局势是否会演化为战争？O网页链接
汇通网FX678,【外汇周评：俄乌局势与美联储加息交替影响，商品货币三连阳，多空拉锯博弈加剧】#外汇##外汇黄金##外汇黄金原油##汇通网#占据各大媒体头条的俄乌危机主导着本周汇市风险偏好的变化，主要货币走势随着避险情绪的起伏而动。交易员紧盯俄乌局势进展的同时，也在权衡美联储(FED)的加息前景。本周出炉的美联储会议纪要鹰派不及预期，略微拖累美元表现；而避险日元受到避险情绪支撑，通胀数据推高英国央行加息预期，给英镑提供上涨动能，澳元也受到乐观就业数据的支撑，新西兰连续下周加息的预期帮助纽元周线三连阳。
本溪老刘,美国拱火俄乌局势，俄不再忍让主动出击，3次危险逼近美军机O网页链接
大象军视,美国通过散布谣言煽动俄罗斯和乌克兰之间的对抗。美国正在破坏世界和平与稳定。#俄乌局势#L大象军视的微博视频
直新闻,【#英国首相称存在爆发二战以来最大规模战争的风险#】据俄卫星通讯社20日报道，英国首相鲍里斯•约翰逊（@英国首相）在接受BBC采访时称，由于乌克兰局势升级，存在爆发自二战结束以来最大规模战争的风险。他认为，一些“迹象”表明，俄罗斯（@俄罗斯驻华大使馆）“在某种意义上已经开始实施入侵乌克兰的计划”。约翰逊称，“我担心，我们看到的这个计划的实施可能导致在欧洲爆发自1945年以来最大规模的战争。”约翰逊援引情报部门的消息称，俄军正计划“包围”基辅。他还援引美国总统乔•拜登的话强调，莫斯科准备从乌克兰东部和白俄罗斯两个方向“入侵”乌克兰。尽管俄军在演习结束后返回部署地点，但西方继续散布俄罗斯准备在乌克兰挑衅的言论。俄罗斯国防部长谢尔盖•绍伊古在2月14日与普京见面时报告称，“部分演习即将结束，还有部分演习也将在不久后完成。”部队将回到他们的部署地点。#俄乌边境危机##俄乌局势#
环球市场播报,#拜登称通胀为伟大的资产#【当通胀都叫“伟大的资产”，美方还有什么谎不敢撒】搅动俄乌局势，美国依然急不可耐，其中一个重要原因，据分析——美国经济面对四十年来最高的通胀数据，需要想各种办法替自己解围。对外，是意图撒谎挑动战争促使美元回流。对内，同样是语不惊人死不休。不久前的白宫记者会上，拜登为自己治下的美国经济正名：“更多的通胀是一笔伟大的资产。”通胀，这个任谁都难引以为“伟大”的事实，到底变成了怎样一笔“资产”，才让拜登当众激动至此？O当通胀都叫“伟大的资产”，美方还有什么谎不敢撒
文汇报,【#乌总统强调乌克兰必须保持冷静#】#乌克兰总统希望和普京会面#19日，乌克兰总统泽连斯基在第58届慕尼黑安全会议上发言时表示，乌克兰唯一想要的就是和平，他希望俄罗斯总统普京能与他会面，共同寻求解决危机的方案。泽连斯基说，当前俄乌边境局势紧张，但乌克兰民众并不因此恐慌。他强调，乌克兰必须保持冷静，否则将会导致更大的风险。（央视网）L央视网的微博视频
南都周刊,【#乌克兰富豪纷纷逃离#，乌克兰媒体：#乌克兰前100名富豪逃离了96位#？】本周，俄乌局势持续成为金融市场上的关注焦点，而面临可能开战的风险，不少富豪纷纷逃离乌克兰，乌克兰媒体报道称，截至13日晚航班停运时，包括乌克兰首富——里纳特·阿克梅托夫在内的福布斯乌克兰富豪榜上排名前100位的富豪已经离开了绝大部分，只剩下4位留在了乌克兰。14日，乌克兰总统泽连斯基在一场发布会上公开喊话，要求离境的富豪们于24小时内回国，因为“现在是展示国家团结的重要时刻。”面对质疑，里纳特·阿克梅托夫的秘书16日在社交媒体的发帖展示阿克梅托夫在乌克兰境内考察的照片，而其他一些富豪也做出回应表示目前在国外参加活动，将很快回国。L央视财经的微博视频
新浪军事,【泽连斯基希望与普京会面强调乌克兰必须保持冷静】19日，乌克兰总统泽连斯基在第58届慕尼黑安全会议上发言时表示，乌克兰唯一想要的就是和平，他希望俄罗斯总统普京能与他会面，共同寻求解决危机的方案。泽连斯基说，当前俄乌边境局势紧张，但乌克兰民众并不因此恐慌。他强调，乌克兰必须保持冷静，否则将会导致更大的风险。#军闻联播#@央视网L央视网的微博视频
董期货,发布了头条文章：《沪镍周评：俄乌局势给予多头信心，重点关注俄乌局势去向》#沪镍##期货#O沪镍周评：俄乌局势给予多头信心，重点关注俄乌局势去向
主编赵旭东,#普京直言俄罗斯被耍了#【#乌总统强调乌克兰必须保持冷静#】#乌克兰总统希望和普京会面#19日，乌克兰总统泽连斯基在第58届慕尼黑安全会议上发言时表示，乌克兰唯一想要的就是和平，他希望俄罗斯总统普京能与他会面，共同寻求解决危机的方案。泽连斯基说，当前俄乌边境局势紧张，但乌克兰民众并不因此恐慌。他强调，乌克兰必须保持冷静，否则将会导致更大的风险。#蓝v视界#L央视网的微博视频
雨城纪事_,#普京直言俄罗斯被耍了#俄乌局势对中国不重要吗？俄美局势对中国不重要吗？国内社会事件已经立案调查，连你考试都会两三天才出结果吧，但你却觉得社会事件会立马出结果？在互联网上听风就是雨，被人牵着鼻子走，感觉不到有些人就是浑水摸鱼？在国际新闻下面疯狂复制粘贴发一下煽动言论很好玩，某些没有脑子的追星人可以好好追星吗？
财经达人-Mrluo罗老师,乌俄局势持续升温，明天早盘黄金若能有效企稳1900，将会继续上攻1904/08甚至更高的位置！
经济观察报,【#乌总统强调乌克兰必须保持冷静#】#乌克兰总统希望和普京会面#19日，乌克兰总统泽连斯基在第58届慕尼黑安全会议上发言时表示，乌克兰唯一想要的就是和平，他希望俄罗斯总统普京能与他会面，共同寻求解决危机的方案。泽连斯基说，当前俄乌边境局势紧张，但乌克兰民众并不因此恐慌。他强调，乌克兰必须保持冷静，否则将会导致更大的风险。（央视网）L央视网的微博视频
X的水星游记,两次都是美国佬搞事情
江南小乡,"美国人唯恐天下不乱，想浑水摸鱼卖军火<img alt=""[吃瓜]"" title=""[吃瓜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/01/2018new_chigua_org.png"" />"
加加swsw,"俄罗斯说，让乌加入北约就打北约，一个国家送一颗原子弹<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
花痴鱼非鱼,持续下跌
柚柚子16905,如果有天北韩要抱鹰酱大腿，拉萨德进38线以北，兔子会上去咬吗
中国军视网,【什么决定打不打？最关键一周看清俄乌局势真相】俄乌局势进入最关键的一周，16日美国等着俄罗斯进攻乌克兰，然而，战争没有发生，俄罗斯却开始了撤军；17日，俄媒称乌克兰武装开始对乌东发动袭击，拜登惊呼俄罗斯正在制造战争理由，战争或在数天内发生。从战云密布到局势转折，又到迷雾重重仅用了几天时间，局势变化如同过山车，其间发生了什么？美国制造的“进攻日”情报是谁的杰作？谁又是“对俄出手”的关键人物？“俄乌危机”走到今天，谁是真正的赢家？谁又输得一败涂地？今晚21：30锁定CCTV-7#国防军事频道#《#军事制高点#》L中国军视网的微博视频
国际在线,【#乌总统强调乌克兰必须保持冷静#】#乌克兰总统希望和普京会面#19日，乌克兰总统泽连斯基在第58届慕尼黑安全会议上发言时表示，乌克兰唯一想要的就是和平，他希望俄罗斯总统普京能与他会面，共同寻求解决危机的方案。泽连斯基说，当前俄乌边境局势紧张，但乌克兰民众并不因此恐慌。他强调，乌克兰必须保持冷静，否则将会导致更大的风险。L央视网的微博视频
因材施教-杜玉红,黄金在没有企稳1900位置大关之前，都是保持空头思路对待。只不过是现在乌俄局势主导市场，技术面整体还是偏空的。外汇黄金美原油伦敦金
财经早餐,【#乌克兰富豪纷纷逃离#，乌克兰媒体：#乌克兰前100名富豪逃离了96位#？】本周，俄乌局势持续成为金融市场上的关注焦点，而面临可能开战的风险，不少富豪纷纷逃离乌克兰，乌克兰媒体报道称，截至13日晚航班停运时，包括乌克兰首富——里纳特·阿克梅托夫在内的福布斯乌克兰富豪榜上排名前100位的富豪已经离开了绝大部分，只剩下4位留在了乌克兰。14日，乌克兰总统泽连斯基在一场发布会上公开喊话，要求离境的富豪们于24小时内回国，因为“现在是展示国家团结的重要时刻。”面对质疑，里纳特·阿克梅托夫的秘书16日在社交媒体的发帖展示阿克梅托夫在乌克兰境内考察的照片，而其他一些富豪也做出回应表示目前在国外参加活动，将很快回国。L央视财经的微博视频
辉煌祖国,搜狐新闻:【#乌克兰政府军向乌东地区发射400多枚炮弹#–反复挑动俄乌局势升级，金一南：为了一己私利，美国不择手段，吃相太难看！】O网页链接（分享自@搜狐新闻客户端）
大象军视,LPR人民警察周日表示，乌克兰军队试图袭击自称卢甘斯克人民共和国（LPR）的人民民兵阵地，但遭受损失并撤退。“2月20日凌晨5点左右，第79空降突击旅的战斗人员试图在穿越SeverskyDonets河的Pionerskoye定居点地区袭击人民民兵的阵地。由于冲突，敌人损失惨重，撤退了。”人民警察在一份声明中说。#乌克兰东部局势##俄乌局势#
海哥财经前瞻,发布了头条文章：《黄金行业产业链》俄乌冲突仍然升级，全球局势越发紧张，避险情绪近三周持续不断攀升，金价攀升至1900美元附近。O黄金行业产业链
无敌龙兽,政治博弈看的我津津有味#俄乌局势#
本溪老刘,北京冬奥一结束就打？俄乌局势出现迅速恶化，关键时刻中方发话了O网页链接
石宏观察,【乌克兰主动打响战斗，大批难民涌入了俄罗斯，俄乌局势恐引发大战】2月18日乌克兰东部地区民间武装领导人普希林的对外表示乌克兰政府军在不断破坏明斯克协议，向乌东地区不断地进行炮击。#微博公开课##石宏观察##我在微博涨知识#L石宏观察的微博视频
四川魏静,【#乌总统强调乌克兰必须保持冷静#】#乌克兰总统希望和普京会面#19日，乌克兰总统泽连斯基在第58届慕尼黑安全会议上发言时表示，乌克兰唯一想要的就是和平，他希望俄罗斯总统普京能与他会面，共同寻求解决危机的方案。泽连斯基说，当前俄乌边境局势紧张，但乌克兰民众并不因此恐慌。他强调，乌克兰必须保持冷静，否则将会导致更大的风险。（央视）L央视网的微博视频#俄罗斯乌克兰##乌克兰内务部长视察前线遭炮击##普京直言俄罗斯被耍了#
公方彬在思想,这里再做一个研判或预判：俄乌局势乃至俄罗斯与北约博弈将不可逆地一直走在俄不乐见的道路上。其一，即便乌克兰加入北约，俄罗斯也不可能开战。这是当下世界生态决定的，不以单个国家的意志为转移。回看1949年以美国为首的12个国家成立北大西洋公约组织，到20世纪90年代苏联解体华约解散，特别是1991年北约国家、前华约国家、独联体及波罗的海三国共同组成北大西洋合作委员会。北约在东扩过程中一直面对着俄罗斯的抗议甚至威胁，但却从未停止东扩步伐。由最初12个成员国到目前的30个成员国足以证明这一点。所以，这次俄罗斯以战争相威胁，真正目的恐怕不是阻止乌克兰加入北约，而是盯着顿涅茨克与卢甘斯克两个闹独立州。其二，乌克兰加入北约没有悬念。因为当下能够让乌克兰产生安全感的只有加入北约，越是游荡于两强之间危险系数越高。与此同时，俄罗斯向乌克兰施加的压力越大，战争威胁越强烈，乌克兰加入北约和北约接纳乌克兰的时间表越有提早之可能。这不仅关系到北约在世界的面子问题，更关键的是这次示弱意味着下一轮博弈先处下风，这是北约和西方决不会接受的结果。其三，俄罗斯与北约乃至与整个西方对峙将是一个长期的过程，大概率事件是强弱差距会随时间推移不断拉大，而不是缩小，发展到一定阶段俄罗斯有可能也成为北约一员。当然，那时的世界可能是一幅新的图景。
玉渊谭天,【#热解读俄乌局势#障眼法背后的真面目】#普京直言俄罗斯被耍了#美国不断向乌克兰送去武器，乌克兰东部枪炮频发，黑海地区剑拔弩张，谭主找到长期观察研究#俄乌局势#的张弘聊了聊，关注西方媒体“障眼法”背后的“真面目”。L玉渊谭天的微博视频
双鱼鬼手七,俄乌紧张局势持续发酵，伊核协议谈判也传来新消息，受此影响，国际油价昨日深V反转，盘中一度跌超2%，收盘强势翻红。美股三大指数全线走弱，标普500指数的11个板块几乎全军覆没，信息技术板块领跌。截至收盘，道琼斯工业平均指数收跌232.85点，跌幅0.68%报34079.18点；标普500指数收跌31.39点，跌幅0.72%报4348.87点；纳斯达克综合指数收跌168.65点，跌幅1.23%，报13548.07点。
快兰斯24小时财经直播,实时播报：【原油时隔8年突破100美元/桶】随着俄乌局势愈发紧张，有着“黑色黄金”之称的石油价格一路攀升。美国普氏能源资讯公司数据显示，英国市场即期北海布伦特原油现货价格16日达每桶100.8美元，为2014年以来首次破百；布伦特原油期货价格也一度突破每桶96美元。原油价格为何会有如此强劲的表现？不少人将油价暴涨的原因归于俄乌冲突，但业内人士认为，归根结底还是供需不平衡的问题。(中新财经）
四维金融,目前俄乌局势跟当年克里米亚战争像极了，大战一触即发，弄不好普京地位可能就不保
四维金融,炮击致乌军2死4伤，乌克兰总统：不会回应“挑衅”行为2月19日，乌克兰总统泽连斯基在第58届慕尼黑安全会议上表示，乌克兰不会对“挑衅”行为进行回应。泽连斯基表示，当前俄乌边境局势十分紧张，但是乌克兰民众并不恐慌。他强调，假如乌克兰对“挑衅”进行回击，那将会导致更大的风险，因此乌克兰必须保持冷静。乌克兰军方2月19日清晨通报称，乌军一名士兵在与乌东部民间武装的交火中阵亡。欧安组织警告，近期俄罗斯乌克兰边境地带的攻击次数“急剧增加”。针对美国总统拜登称俄罗斯即将“入侵”乌克兰的说法，泽连斯基表示，“很难对拜登的说法下定论”。他同时重申对乌克兰情报部门和军队的信任。连日来，美国多次宣称俄罗斯即将“入侵”乌克兰，但遭到俄罗斯否认。此前，泽连斯基还曾指责美国，称美国的不当做法引起了人们的恐慌，从而损害了乌克兰的经济。国际文传电讯社19日报道称，乌克兰外交部长库列巴驳斥了俄罗斯有关两枚乌克兰炮弹落入俄罗斯领土的声明。他表示，“这是虚假声明，乌克兰没有开火，这些不是乌克兰的炮弹。”据俄罗斯罗斯托夫州边防部门消息，19日下午有两发炮弹击中了该州靠近乌克兰边境地区的一座非住宅用建筑。相关部门正在对此进行调查。乌克兰国家通讯社19日报道称，乌克兰军方当天发布消息说，2名乌克兰军人在炮击中丧生，4人受伤。目前受伤人员正在医疗机构接受救治。当地时间20日，位于乌克兰东部地区的顿涅茨克市外围地区已经连续三个小时有爆炸声传出，顿涅茨克市中心可清楚听到。市中心的楼内窗户有明显的震动，爆炸声为炮击声。此外，当日国际红十字会呼吁冲突各方谨慎行事，不要伤及普通民众和重要民用基础设施。据该组织统计，在顿涅茨克地区目前至少有两个大型泵水站遭到破坏，目前正在维修中。
扶摇直上139,"你以为美国就是要把乌克兰推上断头台吗？太小看美国昂格鲁部落了，他们第二目标是把波兰推上战场，进而全面搞乱欧洲，阻止欧亚非大陆和平发展。<img alt=""[哼]"" title=""[哼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7c/2018new_heng_org.png"" />"
若愚学者666,美国要的是结果，而非信誉。不是乌克兰要不要战争，而是美国急需要战争。泽连斯基打与不打没关系，等到美英一切准备就绪，他们会帮助乌克兰扣动射向俄罗斯子弹的扳机。现在，对俄、对乌克兰、对美英确实是一场智慧大比拼。
三一家的妞,湾湾快来看！！
四维金融,法国外长勒德里昂与俄罗斯外长拉夫罗夫通电话当地时间2月19日，法国外长勒德里昂与俄罗斯外长拉夫罗夫通电话。勒德里昂对最近几天乌克兰东部局势升级表示深切关注，并称如发生严重后果，欧盟及其盟友将对俄罗斯实施大规模制裁。勒德里昂说，俄乌危机始终有可能通过对话来解决。法国仍然会与其合作伙伴一道，决心为此做出努力和贡献
华尔街见闻APP,【俄乌危机微妙时刻：俄乌边境擦枪走火，美方呼吁“前所未有”的制裁】俄乌局势“最坏情况”最早可能在下周到来，而局势的变化也在牵动着全球市场走势。O俄乌危机微妙时刻：俄乌边境擦枪走火，美方呼吁“前所未有”的制裁
